,Force,Distance
0,-2.836555527454012,1.375565906088823
1,-2.87747498670326,1.3749582295886364
2,-2.9224610443468815,1.3707980574053122
3,-2.9925097203435045,1.3739475239935621
4,-3.1771371887487896,1.3719135969995495
5,-3.19877315032281,1.369231358094686
6,-3.1710401779056783,1.3684087613095484
7,-3.383279121399892,1.366489022183246
8,-3.364736974758003,1.3658529450317611
9,-3.425040495641012,1.3664727162861157
10,-3.51686123946755,1.3651483273096612
11,-3.6277104797749877,1.3644633234737893
12,-3.6509863633043103,1.3636685795300378
13,-3.7015499719370504,1.3646480549929199
14,-3.645380351057006,1.3646133137158172
15,-3.722272829828916,1.3589968206114595
16,-3.830079962785334,1.3600961580233082
17,-3.9802327026842157,1.3596434715361632
18,-3.997404710139193,1.3578829955328602
19,-3.9909223297980025,1.3576209571454454
20,-4.021180275360011,1.3538144937867203
21,-3.8738158577590314,1.3536846895242496
22,-4.0583734627886345,1.353235647736983
23,-4.151179534865741,1.3529265687483352
24,-4.14658351898536,1.3503712312496439
25,-4.035004761536161,1.3504681718469294
26,-4.132362535238464,1.3491466826143963
27,-4.421916143836304,1.3484723942486774
28,-4.232396205460477,1.3484725655452618
29,-4.376730920858294,1.346890842427209
30,-4.2639384062682355,1.345890848427155
31,-4.364326415346278,1.3463003037022205
32,-4.436305434921822,1.3450421155541226
33,-4.546381920333132,1.3434845075314787
34,-4.542609110166171,1.3444693289825973
35,-4.612375448450453,1.3403553241738182
36,-4.5480575623099515,1.341981176730806
37,-4.549213170637566,1.3417105284062627
38,-4.537872275800145,1.339263828179794
39,-4.440075449741326,1.3419495227171976
40,-4.433360542698001,1.3407118735395485
41,-4.55980177424885,1.3404776437691983
42,-4.632845473383013,1.342095756851664
43,-4.378533549301609,1.342918484081229
44,-4.415926163573033,1.3421573377740343
45,-4.344983341986558,1.3404969036507821
46,-4.392706029580496,1.3437298121817327
47,-4.474960804890878,1.3423902709932811
48,-4.520931548439095,1.3441132365982345
49,-4.321259923579442,1.3459907513474638
50,-4.24459157531157,1.346939976564506
51,-4.312819070999235,1.3484522938014312
52,-4.165280920394263,1.3448641868951379
53,-3.94506661441777,1.3503861896003841
54,-4.071804135029165,1.34879846541082
55,-3.9962731072706377,1.3509226532176184
56,-4.034331026937089,1.3515766496763852
57,-3.8335334381432506,1.3534231929929073
58,-3.7770575299480056,1.3530698004959465
59,-3.6965517179948773,1.3556087150358405
60,-3.607654971106257,1.3550008389555153
61,-3.497819652331236,1.357165797304368
62,-3.6143708048542287,1.3563206133429726
63,-3.561307373587173,1.3586248460452803
64,-3.3634956779857936,1.3607416843412077
65,-3.2206030902240195,1.358819334649561
66,-3.2583754731428973,1.3627437451337654
67,-3.052699957294404,1.3635667665003428
68,-3.069811843197742,1.366262783353028
69,-3.059284064418075,1.3655749063865237
70,-2.820962279446782,1.3657717464314656
71,-2.9529874448237567,1.365372059678188
72,-2.7467312685299685,1.368464459565597
73,-2.8039652109813367,1.366496157974531
74,-2.7575131573441176,1.3689698612392491
75,-2.585283357147702,1.3720776413275995
76,-2.559993267076099,1.372179581011252
77,-2.493889768313185,1.3728975106181194
78,-2.4666184598462655,1.3708447518428706
79,-2.160964523145911,1.3714905972252915
80,-2.29834625218708,1.3748176549264985
81,-2.2394894391461526,1.3752043786017007
82,-1.984624043880282,1.3749908443326557
83,-2.0254375490504337,1.3778060901656186
84,-1.8137865095313803,1.3756924764317278
85,-1.6217145813961853,1.3778397039155421
86,-1.7055814724442488,1.3781331774609296
87,-1.6868576053658513,1.379709692029723
88,-1.599926896688543,1.3787422423470916
89,-1.337059691043326,1.381619703038207
90,-1.3778852230627259,1.383487275430487
91,-1.2418632312660314,1.3845363708590206
92,-1.2355446567638733,1.3866891407565358
93,-1.180269097689418,1.3854240530164454
94,-1.140817604633272,1.386921831945641
95,-1.0482487460988448,1.3865030905823947
96,-0.6397102224219101,1.3899776263856505
97,-0.7049469171908088,1.3888216025313107
98,-0.68654437543228,1.3876133427955186
99,-0.4503274541081783,1.387909289774214
100,-0.38785878553566344,1.3909807354974442
101,-0.24906439044989392,1.3930792810004418
102,-0.2511899868922995,1.392776634539377
103,-0.2124564868342027,1.3964441761893447
104,-0.14749816906729718,1.3943934291723115
105,0.11280129537824682,1.3975237911883625
106,0.07134617290751445,1.400275638497022
107,0.2705991557634336,1.3983065864727666
108,0.45880717485521716,1.401232815102389
109,0.5199781446171254,1.4003675902367272
110,0.5752751245332639,1.401926694178636
111,0.6791393855925081,1.4047446253299234
112,0.6926920045495244,1.4024746294735055
113,0.9392307807222017,1.4035271966794798
114,1.040959754293323,1.4063269655193245
115,1.0388626089534314,1.4065813754899605
116,1.2540673247238694,1.405345280352189
117,1.3685617286134002,1.4090755585758368
118,1.3786571146155215,1.4075903339277
119,1.5547716023510567,1.4070713109712223
120,1.8790338143222816,1.4094107693385332
121,1.9765362478914517,1.4071205233960336
122,2.093916476103686,1.409844205349171
123,2.3221800625883544,1.4123025453220346
124,2.4391589845212738,1.409790359118658
125,2.747282358098767,1.4119016566622729
126,2.868730037781471,1.4107654975825343
127,2.858938577901869,1.4135564929381843
128,3.1880498113591007,1.4155273840789149
129,3.232738033741806,1.4155394970682695
130,3.3284493274665556,1.4173083803515052
131,3.6082580399202824,1.4192525381582852
132,3.615353383346196,1.4172368496014673
133,3.8422880169534968,1.4199597666339012
134,3.9630872242600557,1.419435419751796
135,4.169821610625338,1.4208385755358428
136,4.437592023320554,1.4211762776760697
137,4.533723941943133,1.4206514354811128
138,4.39864484294033,1.4223375044611575
